Recipes from any villagers,Recipes from any villagers,Recipes from any villagers,Recipes from any villagers
Recipe Name,Materials Needed [1],Category,Item Sell Price [1]
Blue Rose Crown,6x blue roses,Equipment,12000
Blue Rose Wreath,10x blue roses,Wall-mounted,20000
Chic Cosmos Wreath,10x black cosmos,Wall-mounted,4800
Chic Mum Crown,3x purple mums3x pink mums,Equipment,960
Chic Rose Crown,3x purple roses3x black roses,Equipment,2880
Chic Tulip Crown,2x purple tulips2x pink tulips1x orange tulips,Equipment,1440
Chic Windflower Wreath,10x purple windflowers,Wall-mounted,4800
Cool Hyacinth Crown,4x blue hyacinths2x pink hyacinths2x orange hyacinths,Equipment,1280
Cool Hyacinth Wreath,3x orange hyacinths3x blue hyacinths3x pink hyacinths,Wall-mounted,1440
Cool Pansy Crown,3x orange pansies3x blue pansies,Equipment,960
Cool Pansy Wreath,10x purple pansies,Wall-mounted,4800
Cool Windflower Crown,3x blue windflowers3x pink windflowers,Equipment,960
Cool Windflower Wreath,3x blue windflowers3x pink windflowers3x white windflowers,Wall-mounted,1200
Cosmos Crown,2x red cosmos2x yellow cosmos3x white cosmos,Equipment,480
Cosmos Wreath,3x yellow cosmos3x white cosmos3x red cosmos,Wall-mounted,720
Cute Lily Crown,2x pink lilies2x orange lilies2x white lilies,Equipment,800
Cute Rose Crown,3x pink roses3x orange roses,Equipment,960
Dark Cosmos Crown,7x black cosmos,Equipment,3360
Dark Lily Crown,6x black lilies,Equipment,960
Dark Lily Wreath,10x black lilies,Wall-mounted,1600
Dark Rose Wreath,3x black roses6x purple roses,Wall-mounted,4320
Dark Tulip Crown,5x black tulips,Equipment,800
Dark Tulip Wreath,10x black tulips,Wall-mounted,1600
Fancy Lily Wreath,3x orange lilies3x pink lilies3x yellow lilies,Wall-mounted,1200
Fancy Mum Wreath,3x pink mums3x purple mums3x red mums,Wall-mounted,1200
Fancy Rose Wreath,3x orange roses3x pink roses3x yellow roses,Wall-mounted,1200
Gold Rose Crown,6x gold roses,Equipment,12000
Gold Rose Wreath,10x gold roses,Wall-mounted,20000
Hyacinth Crown,4x red hyacinths2x yellow hyacinths2x white hyacinths,Equipment,640
Hyacinth Wreath,3x white hyacinths3x red hyacinths3x yellow hyacinths,Wall-mounted,720
Lily Crown,2x red lilies2x yellow lilies2x white lilies,Equipment,480
Lily Wreath,3x white lilies3x red lilies3x yellow lilies,Wall-mounted,720
Lovely Cosmos Crown,4x pink cosmos3x orange cosmos,Equipment,1120
Mum Crown,2x red mums2x yellow mums2x white mums,Equipment,480
Mum Wreath,3x white mums3x yellow mums3x red mums,Wall-mounted,720
Natural Mum Wreath,10x green mums,Wall-mounted,4800
Pansy Crown,2x red pansies2x yellow pansies2x white pansies,Equipment,480
Pansy Wreath,3x yellow pansies3x white pansies3x red pansies,Wall-mounted,720
Pretty Cosmos Wreath,3x orange cosmos3x pink cosmos3x red cosmos,Wall-mounted,1200
Pretty Tulip Wreath,3x orange tulips3x pink tulips3x purple tulips,Wall-mounted,2400
Purple Hyacinth Crown,6x purple hyacinths,Equipment,2880
Purple Hyacinth Wreath,10x purple hyacinths,Wall-mounted,4800
Purple Pansy Crown,6x purple pansies,Equipment,2880
Purple Windflower Crown,6x purple windflowers,Equipment,2880
Rose Crown,2x red roses2x yellow roses2x white roses,Equipment,480
Rose Wreath,3x red roses3x white roses3x yellow roses,Wall-mounted,720
Simple Mum Crown,6x green mums,Equipment,2880
Snazzy Pansy Wreath,3x orange pansies3x blue pansies3x yellow pansies,Wall-mounted,1200
Tulip Crown,2x red tulips2x yellow tulips1x white tulips,Equipment,400
Tulip Wreath,3x red tulips3x yellow tulips3x white tulips,Wall-mounted,720
Windflower Crown,2x red windflowers2x orange windflowers2x white windflowers,Equipment,480
Windflower Wreath,3x red windflowers3x white windflowers3x orange windflowers,Wall-mounted,720
