Recipe Name,Materials needed [1],Obtained from [1],Item sell price [1]
Flimsy Axe,x5 tree branchx1 stone,Tom Nook (first DIY workshop) Nook's Cranny (280 ),200
Stone Axe,x1 flimsy axex3 wood,"Pretty Good Tools Recipes from Nook Stop (3,000 )",560
Axe,x1 flimsy axex3 woodx1 iron nugget,"Pretty Good Tools Recipes from Nook Stop (3,000 )",625
Golden Axe,x1 axex1 gold nugget,Breaking axes 100 times,10655
Flimsy Shovel,x5 hardwood,Blathers Nook's Cranny (280 ),200
Shovel,x1 flimsy shovelx1 iron nugget,"Pretty Good Tools Recipes from Nook Stop (3,000 )",600
Golden Shovel,x1 shovelx1 gold nugget,Assisting Gulliver 30 times,10675
Flimsy Fishing Rod,x5 tree branch,Tom Nook (first DIY workshop),100
Fishing Rod,x1 flimsy fishing rodx1 iron nugget,"Pretty Good Tools Recipes from Nook Stop (3,000 )",600
Golden Rod,x1 fishing rodx1 gold nugget,Completing the fish section of the Critterpedia,10400
Flimsy Net,x5 tree branch,Tom Nook (first DIY workshop),100
Net,x1 flimsy netx1 iron nugget,"Pretty Good Tools Recipes from Nook Stop (3,000 )",600
Golden Net,x1 netx1 gold nugget,Completing the bug section of the Critterpedia,10400
Flimsy Watering Can,x5 softwood,Tom Nook Nook's Cranny (280 ),200
Watering Can,x1 flimsy watering canx1 iron nugget,"Pretty Good Tools Recipes from Nook Stop (3,000 )",600
Golden Watering Can,x1 watering canx1 gold nugget,Isabelle after attaining a 5-star town rating,10675
Slingshot,x5 hardwood,Nook's Cranny (300 ),225
Golden Slingshot,x1 slingshotx1 gold nugget,Golden balloon after shooting down 300 balloons,10300
Vaulting Pole,5x softwood,Blathers Nook's Cranny (500 ),600
Ladder,x4 woodx4 hardwoodx4 softwood,Tom Nook after placing 2nd house plot Nook's Cranny (500 ),1440
Wand,x2 star fragment,Celeste,1000
Tree-Branch Wand,x5 tree branchx3 star fragment,Celeste,1550
Iron Wand,x3 iron nuggetx3 star fragment,Celeste,3750
Golden Wand,x2 gold nuggetx3 star fragment,Celeste,20750
Star Wand,x1 large star fragmentx3 star fragment,Celeste,6500
Bamboo Wand,x6 young spring bamboox3 star fragment,Balloon during Spring,3900
Cherry-Blossom Wand,x3 cherry-blossom petalx3 star fragment,Balloon during Cherry-Blossom Season,2700
Shell Wand,x3 summer shellx3 star fragment,Balloon during Summer,5100
Mushroom Wand,x3 skinny mushroomx3 star fragment,Balloon during Mushrooming Season,3300
Ice Wand,x1 large snowflakex3 star fragment,Perfect Snowboy,6500
Windflower Wand,x1 orange windflowersx3 star fragment,Celeste,1580
Mums Wand,x1 yellow mumsx3 star fragment,Celeste,1580
Cosmos Wand,x1 white cosmosx3 star fragment,Celeste,1580
Tulip Wand,x1 red tulipsx3 star fragment,Celeste,1580
Rose Wand,x1 red rosesx3 star fragment,Celeste,1580
Pansy Wand,x1 yellow pansiesx3 star fragment,Celeste,1580
Hyacinth Wand,x1 pink hyacinthsx3 star fragment,Celeste,1660
Lily Wand,x1 white liliesx3 star fragment,Celeste,1580
Wedding Wand,x1 wedding flower standx3 star fragment,Cyrus after the final party during Wedding Season,3500
Bunny Day Wand,x1 wobbling Zipper toyx3 star fragment,Zipper after crafting a Wobbling Zipper toy,11100
